provider,health_system_name,hospital_ownership,code,code_type,charge_description,code_class,plan_raw,mapped_payer,mapped_payer_class,rate,medicare_provider_id,npi,long,lat,street_address,city,state,zip_code,county,medicare_cbsa,acute_care_facility,hospital_overall_rating,hospital_type,total_beds,location,tq_compliance_score,cms_quality_rating,effectiveness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,mortality_national_comparison,patient_experience_national_comparison,readmission_national_comparison,safety_of_care_national_comparison,timeliness_of_care_national_comparison
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Anthem BCBS PPO,Blue Cross Blue Shield,Commercial,219.09,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Anthem Blue Prefered,Blue Cross,Commercial,219.09,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Anthem Federal,Blue Cross,Commercial,219.09,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Anthem Highmark PPO,Highmark,Commercial,219.09,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Anthem Medicare Select,Blue Cross,Medicare,187.88,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Anthem Senior Advantage,Blue Cross,Medicare,187.88,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Anthem Traditional,Blue Cross,Commercial,241.32,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Apex Benefits Svc,Unsorted,Commercial,214.72,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Apex Health Solutions,Unsorted,Medicare,214.72,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,APWU Health Plan Cigna,Cigna,Commercial,210.57,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,ASR Health Benefits Cigna,Cigna,Commercial,210.57,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Assurant Health OHC,Unsorted,Commercial,214.72,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Assurant Health PHCS,PHCS,Commercial,214.72,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultcare Cigna,Cigna,Commercial,210.57,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultcare DCA,AultCare,Commercial,231.80,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultcare Healthsmart,HealthSmart,Commercial,213.50,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultcare OPN,AultCare,Commercial,226.92,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultcare PPO,AultCare,Commercial,197.64,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultcare QCP,AultCare,Commercial,219.60,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultcare Select,SelectHealth,Commercial,197.64,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultra Adm Grp Health Reach OHG,Unsorted,Commercial,229.36,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultra Adm Grp Healthsmart,HealthSmart,Commercial,213.50,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultra Adm Grp OHC,Unsorted,Commercial,214.72,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultra Adm Grp Quality Care Par,Unsorted,Commercial,219.60,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Aultra Admin Group OPN,Unsorted,Commercial,226.92,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Benefit Services OHC,Unsorted,Commercial,214.72,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Bind Benefits Inc UHC,United Healthcare,Commercial,209.84,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,BPA,Unsorted,Commercial,214.72,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Caresource Marketplace,Caresource,Commercial,204.96,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cash Price,Cash Price,Self-Pay,183.00,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,CDPHP FHN,Capital District Physicians Health Plan,Commercial,231.80,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Choice Benefits Cigna PPO,Cigna,Commercial,210.57,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cigna,Cigna,Commercial,210.57,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cigna Beechstreet,Cigna,Commercial,226.92,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cigna Behavioral Health,Cigna,Commercial,207.40,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cigna Great West,Great West,Commercial,210.57,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cigna Healthcare Medicare,Cigna,Medicare,210.57,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cigna International,Cigna,Commercial,210.57,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cigna Ironworkers,Cigna,Commercial,210.57,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cigna PPO,Cigna,Commercial,210.57,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,ClaimEdix Inc,Unsorted,Commercial,214.72,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cleve Clinic Hlth Sys,Unsorted,Commercial,207.40,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cleve Hlth Network,Unsorted,Commercial,207.40,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cofinity Best Life,Unsorted,Commercial,229.36,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"19083",CPT,Hb Bx Breast 1st Lesion Us Imaging,Excision Procedures on the Breast,Cofinity PPO,Unsorted,Commercial,229.36,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
